"X1","X2","val","copies","privacy","parents","data"
"13.ymarr","35.bmi",0.0705934190935579,1,0,0,"sd2011"
"14.msepdiv","15.ysepdiv",0.188833061888867,1,0,0,"sd2011"
"14.msepdiv","16.ls",0.191101563580292,1,0,0,"sd2011"
"14.msepdiv","17.depress",0.193305081546989,1,0,0,"sd2011"
"14.msepdiv","18.trust",0.188834462871329,1,0,0,"sd2011"
"14.msepdiv","19.trustfam",0.188868515765831,1,0,0,"sd2011"
"14.msepdiv","20.trustneigh",0.188913854832062,1,0,0,"sd2011"
"14.msepdiv","21.sport",0.189919807599376,1,0,0,"sd2011"
"14.msepdiv","22.nofriend",0.190712740816667,1,0,0,"sd2011"
"14.msepdiv","23.smoke",0.188766370988195,1,0,0,"sd2011"
"14.msepdiv","24.nociga",0.188650814772753,1,0,0,"sd2011"
"14.msepdiv","25.alcabuse",0.188856986731663,1,0,0,"sd2011"
"14.msepdiv","26.alcsol",0.18954003229687,1,0,0,"sd2011"
"14.msepdiv","27.workab",0.190803186374241,1,0,0,"sd2011"
"14.msepdiv","28.wkabdur",0.214709821874243,1,0,0,"sd2011"
"14.msepdiv","29.wkabint",0.188865516851529,1,0,0,"sd2011"
"14.msepdiv","30.wkabintdur",0.247721638258239,1,0,0,"sd2011"
"14.msepdiv","31.emcc",0.247851091425724,1,0,0,"sd2011"
"14.msepdiv","32.englang",0.190157668205324,1,0,0,"sd2011"
"14.msepdiv","33.height",0.192560640295853,1,0,0,"sd2011"
"14.msepdiv","34.weight",0.18976313071182,1,0,0,"sd2011"
"14.msepdiv","35.bmi",0.192529044412731,1,0,0,"sd2011"
"15.ysepdiv","16.ls",0.189408884883771,1,0,0,"sd2011"
"15.ysepdiv","17.depress",0.191736130170912,1,0,0,"sd2011"
"15.ysepdiv","18.trust",0.187086265069073,1,0,0,"sd2011"
"15.ysepdiv","19.trustfam",0.1870802302571,1,0,0,"sd2011"
"15.ysepdiv","20.trustneigh",0.187026694015177,1,0,0,"sd2011"
"15.ysepdiv","21.sport",0.18811950080243,1,0,0,"sd2011"
"15.ysepdiv","22.nofriend",0.189135161271833,1,0,0,"sd2011"
"15.ysepdiv","23.smoke",0.187003616528529,1,0,0,"sd2011"
"15.ysepdiv","24.nociga",0.186816673913977,1,0,0,"sd2011"
"15.ysepdiv","25.alcabuse",0.186988702768164,1,0,0,"sd2011"
"15.ysepdiv","26.alcsol",0.187754023549495,1,0,0,"sd2011"
"15.ysepdiv","27.workab",0.188906270547314,1,0,0,"sd2011"
"15.ysepdiv","28.wkabdur",0.214062770914,1,0,0,"sd2011"
"15.ysepdiv","29.wkabint",0.186952521403726,1,0,0,"sd2011"
