"X1","X2","val","copies","data"
"08.unempdur","10.marital",0.00060929418299539,5,"sd2011_clean_small"
"08.unempdur","11.mmarr",0.0000925704230777414,5,"sd2011_clean_small"
"08.unempdur","12.ymarr",0.000619490062277198,5,"sd2011_clean_small"
"08.unempdur","13.msepdiv",0.000450815917656683,5,"sd2011_clean_small"
"08.unempdur","14.ysepdiv",0.00130544905688909,5,"sd2011_clean_small"
"08.unempdur","15.ls",0.000498355895490662,5,"sd2011_clean_small"
"08.unempdur","16.depress",0.000451557857977686,5,"sd2011_clean_small"
"08.unempdur","17.trust",0.000419612408328108,5,"sd2011_clean_small"
"08.unempdur","18.trustfam",0.000593306133187051,5,"sd2011_clean_small"
"08.unempdur","19.trustneigh",0.000395973544880698,5,"sd2011_clean_small"
"08.unempdur","20.sport",0.000138922047854539,5,"sd2011_clean_small"
"08.unempdur","21.nofriend",0.00151311440820401,5,"sd2011_clean_small"
"08.unempdur","22.smoke",0.000262937626090112,5,"sd2011_clean_small"
"08.unempdur","23.nociga",0.000986686456972228,5,"sd2011_clean_small"
"08.unempdur","24.alcabuse",0.000232305603663476,5,"sd2011_clean_small"
"08.unempdur","25.alcsol",0.000105873758155423,5,"sd2011_clean_small"
"08.unempdur","26.workab",0.0015408943792407,5,"sd2011_clean_small"
"08.unempdur","27.wkabdur",0.000369658890680092,5,"sd2011_clean_small"
"08.unempdur","28.wkabint",0.000211145765190364,5,"sd2011_clean_small"
"08.unempdur","29.wkabintdur",0.000401006762353653,5,"sd2011_clean_small"
"08.unempdur","30.emcc",0.00153444211100062,5,"sd2011_clean_small"
"08.unempdur","31.englang",0.000746222732866005,5,"sd2011_clean_small"
"08.unempdur","32.height",0.000730635329668091,5,"sd2011_clean_small"
"08.unempdur","33.weight",0.00608026185079889,5,"sd2011_clean_small"
"09.income","10.marital",0.00232455286699489,5,"sd2011_clean_small"
"09.income","11.mmarr",0.00114262230123413,5,"sd2011_clean_small"
"09.income","12.ymarr",0.00245065315800483,5,"sd2011_clean_small"
"09.income","13.msepdiv",0.00235836884231055,5,"sd2011_clean_small"
"09.income","14.ysepdiv",0.0029786614311886,5,"sd2011_clean_small"
"09.income","15.ls",0.0013129117497898,5,"sd2011_clean_small"
"09.income","16.depress",0.00165237364131416,5,"sd2011_clean_small"
"09.income","17.trust",0.00126520911050067,5,"sd2011_clean_small"
"09.income","18.trustfam",0.00116028428817694,5,"sd2011_clean_small"
"09.income","19.trustneigh",0.00126383391568944,5,"sd2011_clean_small"
"09.income","20.sport",0.00225657085852579,5,"sd2011_clean_small"
"09.income","21.nofriend",0.00256048151786375,5,"sd2011_clean_small"
"09.income","22.smoke",0.000929440767326645,5,"sd2011_clean_small"
"09.income","23.nociga",0.00158904062369628,5,"sd2011_clean_small"
"09.income","24.alcabuse",0.000869433297261341,5,"sd2011_clean_small"
"09.income","25.alcsol",0.000647554658003999,5,"sd2011_clean_small"
"09.income","26.workab",0.00482910130589125,5,"sd2011_clean_small"
"09.income","27.wkabdur",0.00134262580492725,5,"sd2011_clean_small"
"09.income","28.wkabint",0.0013646155652648,5,"sd2011_clean_small"
"09.income","29.wkabintdur",0.00147003835320407,5,"sd2011_clean_small"
