"X1","X2","val","data","sdg"
"08.unempdur","20.sport",0.000214012993262701,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","21.nofriend",0.00677579243250959,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","22.smoke",0.000229737677042877,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","23.nociga",0.000299738263054088,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","24.alcabuse",0.000100987042639954,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","25.alcsol",0.00021551725982696,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","26.workab",0.00134122490540996,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","27.wkabdur",0.000639835666773328,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","28.wkabint",0.000312797796916178,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","29.wkabintdur",0.000408585174963943,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","30.emcc",0.000797677853387164,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","31.englang",0.000660920391760839,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","32.height",0.00356295700632594,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","33.weight",0.00123208332040084,"sd2011_clean_small","DataSynthesizer"
"09.income","10.marital",0.00251923995310252,"sd2011_clean_small","DataSynthesizer"
"09.income","11.mmarr",0.00177215565946555,"sd2011_clean_small","DataSynthesizer"
"09.income","12.ymarr",0.00225635379502361,"sd2011_clean_small","DataSynthesizer"
"09.income","13.msepdiv",0.00223315141622174,"sd2011_clean_small","DataSynthesizer"
"09.income","14.ysepdiv",0.00238611683248805,"sd2011_clean_small","DataSynthesizer"
"09.income","15.ls",0.00455082779508153,"sd2011_clean_small","DataSynthesizer"
"09.income","16.depress",0.00264215112011227,"sd2011_clean_small","DataSynthesizer"
"09.income","17.trust",0.0018692308863635,"sd2011_clean_small","DataSynthesizer"
"09.income","18.trustfam",0.00165774579603893,"sd2011_clean_small","DataSynthesizer"
"09.income","19.trustneigh",0.00151388855787154,"sd2011_clean_small","DataSynthesizer"
"09.income","20.sport",0.00228604478071191,"sd2011_clean_small","DataSynthesizer"
"09.income","21.nofriend",0.00814549723842475,"sd2011_clean_small","DataSynthesizer"
"09.income","22.smoke",0.00136196995771835,"sd2011_clean_small","DataSynthesizer"
"09.income","23.nociga",0.00198370020570278,"sd2011_clean_small","DataSynthesizer"
"09.income","24.alcabuse",0.00136681421768468,"sd2011_clean_small","DataSynthesizer"
"09.income","25.alcsol",0.00124343489546572,"sd2011_clean_small","DataSynthesizer"
"09.income","26.workab",0.00312231443730851,"sd2011_clean_small","DataSynthesizer"
"09.income","27.wkabdur",0.00211946304927003,"sd2011_clean_small","DataSynthesizer"
"09.income","28.wkabint",0.00157655568211355,"sd2011_clean_small","DataSynthesizer"
"09.income","29.wkabintdur",0.00172942532111132,"sd2011_clean_small","DataSynthesizer"
"09.income","30.emcc",0.00295064984956656,"sd2011_clean_small","DataSynthesizer"
"09.income","31.englang",0.00260572156638384,"sd2011_clean_small","DataSynthesizer"
"09.income","32.height",0.00683414642800037,"sd2011_clean_small","DataSynthesizer"
"09.income","33.weight",0.00399631378185579,"sd2011_clean_small","DataSynthesizer"
"10.marital","11.mmarr",0.000926714612575222,"sd2011_clean_small","DataSynthesizer"
"10.marital","12.ymarr",0.000637033614082976,"sd2011_clean_small","DataSynthesizer"
"10.marital","13.msepdiv",0.00083696317858143,"sd2011_clean_small","DataSynthesizer"
"10.marital","14.ysepdiv",0.000509002678671634,"sd2011_clean_small","DataSynthesizer"
"10.marital","15.ls",0.00455491226813615,"sd2011_clean_small","DataSynthesizer"
"10.marital","16.depress",0.00103408454606064,"sd2011_clean_small","DataSynthesizer"
"10.marital","17.trust",0.000731048800166925,"sd2011_clean_small","DataSynthesizer"
"10.marital","18.trustfam",0.000814847330871062,"sd2011_clean_small","DataSynthesizer"
"10.marital","19.trustneigh",0.000662319903234563,"sd2011_clean_small","DataSynthesizer"
"10.marital","20.sport",0.000483500879324581,"sd2011_clean_small","DataSynthesizer"
"10.marital","21.nofriend",0.00745788684878275,"sd2011_clean_small","DataSynthesizer"
"10.marital","22.smoke",0.000465661574428597,"sd2011_clean_small","DataSynthesizer"
"10.marital","23.nociga",0.000774547867661663,"sd2011_clean_small","DataSynthesizer"
"10.marital","24.alcabuse",0.000656470677707916,"sd2011_clean_small","DataSynthesizer"
"10.marital","25.alcsol",0.000777866562593586,"sd2011_clean_small","DataSynthesizer"
"10.marital","26.workab",0.000656359434058608,"sd2011_clean_small","DataSynthesizer"
"10.marital","27.wkabdur",0.000689024718984551,"sd2011_clean_small","DataSynthesizer"
"10.marital","28.wkabint",0.000738183048928217,"sd2011_clean_small","DataSynthesizer"
"10.marital","29.wkabintdur",0.000957778155626258,"sd2011_clean_small","DataSynthesizer"
"10.marital","30.emcc",0.00120140156500009,"sd2011_clean_small","DataSynthesizer"
"10.marital","31.englang",0.000700769643795704,"sd2011_clean_small","DataSynthesizer"
"10.marital","32.height",0.005205895678206,"sd2011_clean_small","DataSynthesizer"
"10.marital","33.weight",0.00244337710073035,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","12.ymarr",0.000566458966007316,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","13.msepdiv",0.000702339919584269,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","14.ysepdiv",0.000674974348396452,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","15.ls",0.00111142698414146,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","16.depress",0.00037693614891332,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","17.trust",0.000503357491850274,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","18.trustfam",0.000666085780215798,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","19.trustneigh",0.000399239091159045,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","20.sport",0.00031496347109679,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","21.nofriend",0.00706451506395514,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","22.smoke",0.000354264959273019,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","23.nociga",0.000580071274727003,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","24.alcabuse",0.000465077823877886,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","25.alcsol",0.000576124733441878,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","26.workab",0.000291744572626535,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","27.wkabdur",0.000623177865108888,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","28.wkabint",0.000613318002183806,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","29.wkabintdur",0.000991593359030965,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","30.emcc",0.00180870333166958,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","31.englang",0.000367176186045985,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","32.height",0.00358860084885167,"sd2011_clean_small","DataSynthesizer"
"11.mmarr","33.weight",0.0015223668956675,"sd2011_clean_small","DataSynthesizer"
"12.ymarr","13.msepdiv",0.000869352054950328,"sd2011_clean_small","DataSynthesizer"
